Epoch    GPU_mem   box_loss   obj_loss   cls_loss  Instances       Size
   563/1999        10G    0.01833   0.009003   0.008543         85        640: 100%|██████████| 162/162 [01:05<00:00,  2.48it/s]                           
                 Class     Images  Instances          P          R      mAP50   mAP50-95: 100%|██████████| 27/27 [00:17<00:00,  1.55it/s]                  
                   all       3448      10017      0.884      0.888      0.915      0.825
Stopping training early as no improvement observed in last 100 epochs. Best results observed at epoch 463, best model saved as best.pt.
To update EarlyStopping(patience=100) pass a new patience value, i.e. `python train.py --patience 300` or use `--patience 0` to disable EarlyStopping.

564 epochs completed in 13.372 hours.
Optimizer stripped from Traffic_signs/exp15/weights/last.pt, 15.5MB
Optimizer stripped from Traffic_signs/exp15/weights/best.pt, 15.5MB

Validating Traffic_signs/exp15/weights/best.pt...
Fusing layers... 
Model summary: 157 layers, 7549525 parameters, 0 gradients, 17.5 GFLOPs
                 Class     Images  Instances          P          R      mAP50   mAP50-95: 100%|██████████| 27/27 [00:22<00:00,  1.21it/s]                  
                   147       3448         47      0.542      0.352      0.488      0.376
                   148       3448         39      0.454       0.64      0.549      0.427
                   149       3448         58      0.774      0.707      0.802       0.73
                   150       3448         58      0.774      0.707      0.802      0.722
                   151       3448         54      0.575      0.556       0.59      0.489
                   152       3448         45      0.516       0.64      0.661      0.581
                   153       3448         39      0.821      0.974      0.982      0.879
                   154       3448         50       0.88       0.76      0.862      0.709
                   155       3448         54      0.953      0.926      0.982      0.826
                   156       3448         49      0.959       0.98      0.976      0.871
                   157       3448         49       0.98       0.98      0.991      0.838
                   158       3448         42      0.956      0.976       0.99      0.901
                   159       3448         53      0.952      0.981      0.989      0.877
                   160       3448         48      0.862      0.875      0.961      0.878
                   161       3448         54      0.892       0.92      0.974      0.912
                   162       3448         44      0.955      0.841      0.946      0.897
                   163       3448         41      0.856      0.976      0.971       0.92
                   164       3448         59          1      0.892      0.975      0.924
                   165       3448         43      0.833      0.977      0.975      0.937
                   166       3448         50      0.986       0.96      0.974      0.884
                   167       3448         53      0.923      0.962      0.987      0.924
                   168       3448         46      0.946      0.935      0.986      0.919
                   169       3448         56      0.988          1      0.995      0.878
                   170       3448         61      0.958      0.967      0.983      0.829
                   171       3448         51      0.985          1      0.995      0.925
                   172       3448         58      0.885      0.966      0.978      0.897
                   173       3448         53      0.973          1      0.993      0.886
