Epoch    GPU_mem   box_loss   obj_loss   cls_loss  Instances       Size
   482/1999      8.34G    0.01816   0.008542    0.00826         66        640: 100%|██████████| 492/492 [02:11<00:00,  3.74it/s]                                                                       
                 Class     Images  Instances          P          R      mAP50   mAP50-95: 100%|██████████| 83/83 [00:22<00:00,  3.73it/s]                                                              
                   all       3448      10017      0.933      0.923      0.955      0.873
Stopping training early as no improvement observed in last 100 epochs. Best results observed at epoch 382, best model saved as best.pt.
To update EarlyStopping(patience=100) pass a new patience value, i.e. `python train.py --patience 300` or use `--patience 0` to disable EarlyStopping.

483 epochs completed in 21.059 hours.
Optimizer stripped from Traffic_signs_v5m_scratch/exp/weights/last.pt, 43.8MB
Optimizer stripped from Traffic_signs_v5m_scratch/exp/weights/best.pt, 43.8MB

Validating Traffic_signs_v5m_scratch/exp/weights/best.pt...
Fusing layers... 
YOLOv5m_200 summary: 212 layers, 21657093 parameters, 0 gradients, 50.4 GFLOPs
                 Class     Images  Instances          P          R      mAP50   mAP50-95: 100%|██████████| 83/83 [00:26<00:00,  3.10it/s]                                                              
                   160       3448         48       0.95          1      0.995      0.924
                   161       3448         54          1       0.98      0.994      0.944
                   162       3448         44      0.955      0.977      0.975      0.938
                   163       3448         41      0.992          1      0.995      0.957
                   164       3448         59      0.982      0.937      0.993      0.943
                   165       3448         43      0.906          1      0.992      0.949
                   166       3448         50      0.983       0.98      0.975      0.891
                   167       3448         53      0.954          1      0.994      0.945
                   168       3448         46          1      0.974      0.994       0.94
                   169       3448         56      0.987          1      0.995      0.892
                   170       3448         61      0.947          1      0.995      0.848
                   171       3448         51      0.987          1      0.995      0.932
                   172       3448         58      0.931      0.983       0.99       0.89
                   173       3448         53      0.972          1      0.994      0.899
                   174       3448         51      0.676      0.902        0.9      0.819
                   175       3448         52      0.806      0.797        0.9      0.781
                   176       3448         44      0.824       0.85      0.876      0.744
                   177       3448         41      0.726      0.878      0.891      0.785
                   178       3448        137      0.884      0.889      0.915      0.776
                   179       3448         61      0.993          1      0.995      0.886
                   180       3448         60      0.996      0.983      0.992      0.846
                   181       3448         53       0.81      0.726      0.887      0.777
                   182       3448         42      0.811      0.952      0.978      0.921
                   183       3448         40      0.571      0.833      0.776      0.682
                   184       3448         40      0.847      0.833      0.954      0.859
                   185       3448         53      0.892          1      0.986       0.83
                   186       3448         41      0.598      0.878      0.848      0.692
                   187       3448         34      0.571      0.782      0.724      0.539
                   188       3448         40      0.517      0.108      0.442      0.349
                   189       3448         43      0.953      0.953      0.971      0.833
                   190       3448         35      0.609      0.829      0.869      0.722
                   191       3448         48      0.638      0.477      0.633      0.438
                   192       3448         33      0.484      0.171      0.518       0.42
                   193       3448         41      0.754      0.732      0.768      0.596
                   194       3448         31      0.656      0.554      0.683      0.544
                   195       3448         80      0.907      0.938      0.934      0.819
                   196       3448         56      0.912      0.929      0.964      0.864
                   197       3448         57      0.944      0.947       0.96      0.864
                   198       3448         56      0.948      0.982      0.978      0.863
START_Training_DFG-tsd.md: line 25:  5004 Segmentation fault      (core dumped) python train.py --img 640 --batch-size -1 --epochs 2000 --data DFG-tsd.yaml --weights '' --cfg 'yolov5m_200.yaml' --workers 16 --cache ram --device 0,1 --project Traffic_signs_v5m_scratch
